0.0,-0.9129,-0.7687,-0.9184,-1.0078,-0.8162,0.9973,-0.6361,-0.8666,-0.8263,-1.0856,-0.7844,-0.7241,-0.8255
0.2083,-1.0274,-0.7687,-0.861,-1.2305,-0.8747,-1.5063,-0.7494,-0.8104,-0.9412,0.283,-0.7844,-0.7797,-0.9369
0.4167,-1.0847,-0.8283,-0.861,-1.2861,-0.9332,1.6514,-0.8627,-0.9228,-1.0562,-0.5786,-0.8976,-0.9464,-1.104
0.625,-1.371,-1.0669,-1.0905,-1.3418,-1.1673,-0.4289,-1.0893,-1.3725,-1.286,-2.4267,-0.9542,-1.002,-1.1596
0.8333,-1.371,-1.1863,-1.32,-1.1191,-1.1673,-0.8667,-1.2027,-1.5974,-1.5158,1.2659,-0.8976,-1.2798,-1.271
1.0417,-1.4282,-1.4249,-1.32,-1.0635,-1.2259,-0.0947,-1.316,-1.3163,-1.5733,-0.6789,-0.841,-1.2798,-1.104
1.25,-1.4855,-1.5442,-1.4348,-1.2305,-1.2844,-0.6389,-1.4293,-1.3725,-1.6882,1.4914,-1.0108,-1.391,-1.3267
1.4583,-1.4855,-1.5442,-1.4348,-1.3418,-1.2844,-0.4344,-1.4293,-1.4288,-1.7456,-0.444,-1.2938,-1.5577,-1.3824
1.6667,-1.4855,-1.3652,-1.32,-1.4531,-1.1673,2.1868,-1.4293,-1.3725,-1.6882,2.2059,-1.124,-1.5021,-1.3824
1.875,-1.1992,-0.709,-0.9184,-1.3418,-0.8162,0.3862,-1.316,-0.979,-1.0562,1.0041,-0.7278,-1.0575,-1.1596
2.0833,-0.6839,-0.3511,-0.402,-1.0635,-0.348,1.4907,-0.6361,-0.5855,-0.5965,0.7374,-0.5014,-0.7797,-0.8812
2.2917,-0.3976,-0.2914,-0.1725,-0.7295,-0.1724,1.1758,-0.3528,-0.2482,-0.3092,-0.9358,-0.3317,-0.3907,-0.4914
2.5,-0.1113,-0.2317,0.057,-0.3955,0.0032,-0.6378,-0.2394,-0.0233,-0.0794,-1.2539,-0.2751,-0.1684,-0.213
2.7083,0.0032,-0.2317,0.1144,-0.1728,0.1202,-1.4287,-0.1828,0.0891,-0.0219,0.9071,-0.2751,-0.1128,-0.046
2.9167,0.0604,-0.2317,0.1718,-0.0615,0.1202,-0.8618,-0.1828,0.1453,0.0355,-0.1401,-0.2185,0.0539,0.0097
3.125,0.1177,-0.2317,0.2291,-0.0058,0.1202,-2.7986,-0.1828,0.2015,0.0355,-0.2556,-0.2751,0.1094,0.0097
3.3333,0.1177,-0.4107,0.057,-0.0058,0.0617,-0.6999,-0.2394,0.0891,-0.1368,-1.7715,-0.3317,-0.1128,-0.046
3.5417,-0.1113,-0.7687,-0.2873,-0.0615,-0.2895,-0.1736,-0.4094,-0.3044,-0.4816,0.9275,-0.5014,-0.3907,-0.4358
3.75,-0.3976,-1.1266,-0.6889,-0.2285,-0.6991,0.6882,-0.5794,-0.8666,-0.7689,0.0028,-0.9542,-0.6685,-0.6585
3.9583,-0.4549,-1.1266,-0.861,-0.2285,-0.8162,0.2836,-1.146,-1.2039,-0.9412,-0.8795,-0.9542,-0.8908,-0.9926
